material_id,y_true,gnn_pred,hybrid_pred,abs_diff_gnn_vs_hybrid,gnn_error,hybrid_error,which_is_better
mp-10014,1.4400585889816284,1.2158851623535156,1.3626991949163725,0.14681403256285686,0.2241734266281128,0.07735939406525594,hybrid_better
mp-1002081,1.1622058153152466,1.1470691204071044,1.1912683791580498,0.044199258750945436,0.015136694908142179,0.029062563842803257,gnn_better
mp-10039,1.7902992963790894,1.7832817554473877,1.6966865027744056,0.08659525267298207,0.0070175409317017046,0.09361279360468377,gnn_better
mp-10041,1.55808424949646,1.6337214708328247,1.5566582766922479,0.07706319414057683,0.07563722133636475,0.0014259728042120834,hybrid_better
mp-10055,2.4943480491638184,2.4509997367858887,2.4743949151540083,0.023395178368119662,0.04334831237792969,0.019953134009810025,hybrid_better
mp-10060,2.1570727825164795,2.157273292541504,2.13934476945226,0.017928523089243864,0.00020051002502441406,0.01772801306421945,gnn_better
mp-1006146,1.5136170387268066,1.5588612794876098,1.5838899784688922,0.02502869898128246,0.045244240760803134,0.0702729397420856,gnn_better
mp-1006880,1.8637688159942627,1.7567766189575196,1.8050664079745573,0.04828978901703773,0.10699219703674312,0.05870240801970539,hybrid_better
mp-1007821,2.298245906829834,2.2194682121276856,2.276347236276862,0.05687902414917634,0.07877769470214835,0.02189867055297201,hybrid_better
mp-1007908,1.4736183881759644,1.6092490434646607,1.428778025484867,0.1804710179797937,0.13563065528869633,0.04484036269109737,hybrid_better
mp-1008223,1.5125643014907837,1.6596630096435547,1.6408166463622553,0.018846363281299405,0.14709870815277104,0.12825234487147164,hybrid_better
mp-1008282,2.35687255859375,2.347941017150879,2.341765939064258,0.006175078086620989,0.008931541442871005,0.015106619529491994,gnn_better
mp-1008285,2.378652334213257,2.382945156097412,2.3865701945813145,0.0036250384839022765,0.004292821884155362,0.007917860368057639,gnn_better
mp-1008349,2.4118518829345703,2.2971126556396486,2.3112252825104376,0.014112626870788958,0.1147392272949217,0.10062660042413274,hybrid_better
mp-1008554,1.9957009553909302,2.0512574672698975,2.078134401460981,0.02687693419108328,0.055556511878967374,0.08243344607005065,gnn_better
mp-1008557,2.4114716053009033,2.3721694946289062,2.3930075071653074,0.020838012536401163,0.03930211067199707,0.018464098135595908,hybrid_better
mp-10086,2.01842999458313,2.036339855194092,2.014737368116069,0.021602487078022925,0.017909860610962003,0.003692626467060922,hybrid_better
mp-1008653,2.1239562034606934,2.1927151679992676,2.0521683448179426,0.14054682318132494,0.06875896453857422,0.07178785864275072,gnn_better
mp-1008682,1.7784478664398193,2.019510793685913,1.9848052252468253,0.034705568439087564,0.24106292724609357,0.206357358807006,hybrid_better
mp-1008798,2.521923542022705,2.4874271392822265,2.4509722377735237,0.036454901508702786,0.034496402740478604,0.07095130424918139,gnn_better
mp-1008805,2.5421741008758545,2.4734707355499266,2.4964636177706305,0.022992882220703947,0.06870336532592791,0.045710483105223965,hybrid_better
mp-1008925,1.8010879755020142,2.071615743637085,2.085949523045599,0.014333779408514324,0.2705277681350706,0.28486154754358495,gnn_better
mp-1009078,2.4733774662017822,2.4147780895233155,2.4071775969272293,0.007600492596086195,0.05859937667846671,0.0661998692745529,gnn_better
mp-1009083,1.7466731071472168,1.7299146890640258,1.7630818835298174,0.03316719446579164,0.016758418083191007,0.01640877638260063,hybrid_better
mp-1009088,1.8387987613677979,1.810867977142334,1.8029416607663122,0.007926316376021703,0.02793078422546391,0.035857100601485614,gnn_better
mp-10092,1.6139580011367798,1.6356588363647462,1.6416786091441946,0.006019772779448429,0.021700835227966397,0.027720608007414826,gnn_better
mp-1009458,2.314779043197632,2.3174323558807375,2.351367497736912,0.03393514185617441,0.0026533126831056464,0.03658845453928006,gnn_better
mp-1009592,1.9727210998535156,2.094174861907959,2.054266933761578,0.039907928146381,0.12145376205444336,0.08154583390806236,hybrid_better
mp-1009695,2.0843582153320312,2.1260451316833495,2.0818533525394427,0.04419177914390682,0.04168691635131827,0.002504862792588547,hybrid_better
mp-1009731,2.5976481437683105,2.6127763748168946,2.5460513856117584,0.06672498920513625,0.015128231048584073,0.05159675815655218,gnn_better
mp-1009735,2.6138598918914795,2.589639139175415,2.5656353018121503,0.024003837363264946,0.024220752716064275,0.04822459007932922,gnn_better
mp-1009746,1.8045482635498047,1.8462441682815551,1.7559557985111016,0.09028836977045351,0.041695904731750444,0.04859246503870307,gnn_better
mp-1009894,2.1639034748077393,2.2024399280548095,2.2010336357603633,0.0014062922944462208,0.038536453247070224,0.037130160952624,hybrid_better
mp-10102,1.4641019105911255,1.274150538444519,1.2813416860844415,0.007191147639922457,0.1899513721466064,0.18276022450668394,hybrid_better
mp-10115,2.4072105884552,2.4107134342193604,2.408956228272249,0.0017572059471113732,0.0035028457641601562,0.001745639817048783,hybrid_better
mp-10132,2.4704737663269043,2.4276110172271728,2.4662434031341736,0.0386323859070008,0.042862749099731534,0.004230363192730735,hybrid_better
mp-1013528,1.5626853704452515,1.5132803916931152,1.3500165257647883,0.16326386592832698,0.04940497875213623,0.2126688446804632,gnn_better
mp-1013529,1.670236587524414,1.6402196645736695,1.6142706846194954,0.025948979954174112,0.03001692295074454,0.05596590290491865,gnn_better
mp-1013540,1.5565557479858398,1.4276181221008302,1.4057115768236614,0.021906545277168732,0.12893762588500968,0.1508441711621784,gnn_better
mp-1013548,1.7608369588851929,1.7524770498275757,1.7249351955991394,0.027541854228436247,0.008359909057617188,0.035901763286053434,gnn_better
mp-1013554,1.6927059888839722,1.7308156967163086,1.6783143466008403,0.052501350115468304,0.03810970783233647,0.014391642283131834,hybrid_better
mp-1013555,1.677862286567688,1.7155293226242065,1.6422601143685653,0.0732692082556412,0.037667036056518555,0.03560217219912265,hybrid_better
mp-1013588,1.5014153718948364,1.5064629793167115,1.517161516509172,0.010698537192460611,0.005047607421875044,0.015746144614335655,gnn_better
mp-1013712,1.2948628664016724,1.2034132957458497,1.293520463807931,0.0901071680620813,0.09144957065582271,0.0013424025937414097,hybrid_better
mp-1014168,1.2476541996002197,1.300431728363037,1.1650703576975583,0.13536137066547882,0.05277752876281738,0.08258384190266144,gnn_better
mp-1014307,2.3372695446014404,2.3181319713592528,2.3463046941765233,0.028172722817270568,0.019137573242187678,0.00903514957508289,hybrid_better
mp-10162,1.7643107175827026,1.7624505043029786,1.773672259593225,0.011221755290246493,0.0018602132797240767,0.009361542010522417,gnn_better
mp-1016296,1.5944256782531738,1.623467469215393,1.6618273107574317,0.03835984154203875,0.02904179096221915,0.0674016325042579,gnn_better
mp-1016329,1.5902955532073975,1.5958706617355347,1.6056541794417611,0.00978351770622643,0.0055751085281372514,0.015358626234363681,gnn_better
mp-1016821,2.2451398372650146,2.215052843093872,2.165793609613128,0.049259233480744236,0.030086994171142578,0.07934622765188681,gnn_better
mp-1016827,2.269162654876709,2.2290370941162108,2.203642549185208,0.025394544931002905,0.040125560760498225,0.06552010569150113,gnn_better
mp-1016903,2.261824131011963,2.2841936111450196,2.278184458982838,0.006009152162181675,0.02236948013305673,0.016360327970875055,hybrid_better
mp-1016928,2.362489938735962,2.2760154724121096,2.279669003084014,0.003653530671904548,0.08647446632385236,0.08282093565194781,hybrid_better
mp-1016930,2.280334711074829,2.27791543006897,2.238340225376566,0.039575204692404053,0.0024192810058591974,0.04199448569826325,gnn_better
mp-1017511,2.453608751296997,2.365426254272461,2.3447990432895645,0.02062721098289666,0.08818249702453596,0.10880970800743262,gnn_better
mp-1017514,2.3482892513275146,2.32196159362793,2.2722966350170912,0.04966495861083864,0.026327657699584783,0.07599261631042342,gnn_better
mp-1017626,1.900569200515747,1.884400987625122,1.902579293534696,0.018178305909573922,0.01616821289062509,0.002010093018948833,hybrid_better
mp-10180,1.8352909088134766,1.7281127214431762,1.7758722926437358,0.047759571200559625,0.10717818737030038,0.05941861616974076,hybrid_better
mp-1018009,1.652575135231018,1.588038730621338,1.553719227222116,0.03431950339922185,0.06453640460968013,0.09885590800890198,gnn_better
mp-1018024,2.3126089572906494,2.2475348472595216,2.2630154084135885,0.01548056115406693,0.06507411003112784,0.04959354887706091,hybrid_better
mp-1018028,2.145174741744995,2.1786382675170897,2.1152984323750226,0.06333983514206709,0.03346352577209455,0.029876309369972542,hybrid_better
mp-1018053,1.8364760875701904,1.899143362045288,1.8678364546071566,0.03130690743813136,0.06266727447509757,0.03136036703696621,hybrid_better
mp-1018054,2.364222526550293,2.435384750366211,2.353210255762228,0.08217449460398285,0.07116222381591797,0.011012270788064882,hybrid_better
mp-1018057,2.067636251449585,2.1160379886627196,2.159033178271094,0.04299518960837423,0.04840173721313468,0.0913969268215089,gnn_better
mp-1018060,2.2480714321136475,2.2397406578063963,2.2815042177475133,0.04176355994111702,0.008330774307251154,0.03343278563386587,gnn_better
mp-1018066,2.224822998046875,2.205992412567139,2.258969763174671,0.05297735060753217,0.01883058547973615,0.03414676512779602,gnn_better
